Capillary #1,Capillary #1,Capillary #1,Capillary #2,Capillary #2,Capillary #2,Capillary #3,Capillary #3,Capillary #3,Capillary #4,Capillary #4,Capillary #4,Capillary #5,Capillary #5,Capillary #5,Capillary #6,Capillary #6,Capillary #6,Capillary #7,Capillary #7,Capillary #7,Capillary #9,Capillary #9,Capillary #9,Capillary #10,Capillary #10,Capillary #10,Capillary #11,Capillary #11,Capillary #11,Capillary #12,Capillary #12,Capillary #12,Capillary #13,Capillary #13,Capillary #13,Capillary #14,Capillary #14,Capillary #14,Capillary #15,Capillary #15,Capillary #15,Capillary #16,Capillary #16,Capillary #16,Capillary #17,Capillary #17,Capillary #17,Capillary #18,Capillary #18,Capillary #18,Capillary #19,Capillary #19,Capillary #19,Capillary #20,Capillary #20,Capillary #20
Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-],Time [s],Temperature [°C],Ratio of Integrated Fluorescence at 350nm/330nm [-]
3.478,19.999,0.966,3.402,19.999,0.967,3.326,19.999,0.987,3.251,19.999,0.988,3.175,19.999,0.958,3.099,19.999,0.959,3.023,19.999,,2.872,19.999,0.964,2.796,19.999,0.955,2.720,20.000,1.019,2.644,20.000,1.018,2.568,20.000,1.078,2.493,20.000,1.079,2.417,20.000,1.005,2.341,20.000,1.005,2.265,20.000,0.927,2.189,20.000,0.964,2.114,20.000,1.009,2.038,20.000,1.000
3.773,19.999,0.965,3.849,19.999,0.965,3.926,19.999,0.989,4.002,19.999,0.988,4.079,19.999,0.958,4.155,19.999,0.958,4.232,19.999,,4.385,20.000,0.965,4.462,20.000,0.958,4.538,20.000,1.017,4.615,20.000,1.019,4.691,20.000,1.080,4.768,20.000,1.080,4.845,20.000,1.005,4.921,20.000,1.005,4.998,20.000,0.928,1.566,20.000,0.963,1.646,20.000,1.007,1.726,20.000,1.003
0.212,20.000,0.967,0.291,20.000,0.965,0.371,20.000,0.986,0.451,20.000,0.989,0.530,20.000,0.958,0.610,20.000,0.957,0.690,20.000,,0.849,20.000,0.964,0.929,20.000,0.956,1.008,20.000,1.017,1.088,20.000,1.018,1.168,20.000,1.080,1.248,20.000,1.079,1.327,20.000,1.004,1.407,20.000,1.005,1.487,20.000,0.931,5.074,20.000,0.967,5.151,20.000,1.009,5.228,20.000,1.000
6.978,20.003,0.966,6.902,20.003,0.965,6.826,20.003,0.988,6.751,20.003,0.988,6.675,20.003,0.957,6.599,20.002,0.957,6.523,20.002,,6.372,20.002,0.964,6.296,20.002,0.955,6.220,20.002,1.018,6.144,20.002,1.021,6.068,20.002,1.081,5.993,20.002,1.079,5.917,20.001,1.003,5.841,20.001,1.006,5.765,20.001,0.930,5.690,20.001,0.964,5.614,20.001,1.002,5.538,20.001,1.002
7.303,20.003,0.967,7.378,20.003,0.966,7.453,20.003,0.987,7.528,20.003,0.988,7.603,20.003,0.957,7.678,20.003,0.957,7.753,20.004,,7.903,20.004,0.963,7.978,20.004,0.958,8.053,20.004,1.017,8.128,20.004,1.023,8.203,20.004,1.079,8.278,20.004,1.079,8.353,20.004,1.003,8.428,20.004,1.005,8.503,20.004,0.930,8.578,20.004,0.966,8.653,20.004,1.007,8.729,20.004,0.999
10.479,20.006,0.965,10.403,20.006,0.966,10.328,20.006,0.987,10.253,20.005,0.990,10.178,20.005,0.959,10.103,20.005,0.957,10.028,20.005,,9.878,20.005,0.963,9.803,20.005,0.956,9.728,20.005,1.017,9.653,20.005,1.020,9.578,20.005,1.078,9.503,20.005,1.081,9.428,20.005,1.003,9.353,20.005,1.005,9.278,20.005,0.929,9.203,20.005,0.965,9.128,20.004,1.010,9.053,20.004,1.000
10.788,20.006,0.965,10.864,20.006,0.964,10.940,20.007,0.986,11.016,20.007,0.988,11.091,20.007,0.959,11.167,20.007,0.955,11.243,20.007,,11.394,20.008,0.962,11.470,20.008,0.954,11.546,20.008,1.016,11.622,20.008,1.019,11.698,20.008,1.079,11.774,20.009,1.080,11.850,20.009,1.004,11.925,20.009,1.004,12.001,20.009,0.930,12.077,20.009,0.965,12.153,20.010,1.010,12.228,20.010,1.001
13.979,20.013,0.966,13.903,20.013,0.966,13.827,20.013,0.988,13.751,20.013,0.989,13.675,20.012,0.957,13.600,20.012,0.956,13.524,20.012,,13.372,20.012,0.963,13.296,20.012,0.956,13.221,20.012,1.018,13.145,20.011,1.020,13.069,20.011,1.079,12.993,20.011,1.079,12.917,20.011,1.004,12.842,20.011,1.005,12.766,20.011,0.928,12.690,20.011,0.964,12.614,20.010,1.007,12.538,20.010,0.998
14.288,20.014,0.966,14.364,20.014,0.965,14.440,20.015,0.987,14.516,20.015,0.990,14.591,20.016,0.957,14.667,20.016,0.956,14.743,20.016,,14.895,20.017,0.965,14.970,20.017,0.956,15.046,20.018,1.017,15.122,20.018,1.019,15.198,20.018,1.079,15.274,20.019,1.080,15.349,20.019,1.004,15.425,20.020,1.004,15.501,20.020,0.928,15.577,20.020,0.964,15.652,20.021,1.007,15.728,20.021,1.001
17.478,20.025,0.965,17.402,20.025,0.967,17.325,20.025,0.986,17.248,20.025,0.989,17.172,20.024,0.960,17.096,20.024,0.957,17.019,20.024,,16.865,20.024,0.962,16.789,20.024,0.955,16.712,20.023,1.020,16.636,20.023,1.019,16.559,20.023,1.080,16.483,20.023,1.078,16.406,20.023,1.004,16.329,20.023,1.004,16.253,20.022,0.930,16.176,20.022,0.965,16.100,20.022,1.008,16.023,20.022,0.997
17.789,20.026,0.964,17.864,20.026,0.965,17.940,20.027,0.986,18.016,20.027,0.988,18.092,20.027,0.958,18.168,20.027,0.957,18.243,20.028,,18.395,20.028,0.963,18.471,20.029,0.955,18.547,20.029,1.019,18.622,20.029,1.018,18.698,20.029,1.078,18.774,20.030,1.080,18.850,20.030,1.004,18.926,20.030,1.005,19.001,20.031,0.929,19.077,20.031,0.967,19.153,20.031,1.006,19.229,20.031,1.003
20.979,20.039,0.966,20.904,20.038,0.967,20.829,20.038,0.986,20.754,20.038,0.988,20.679,20.037,0.958,20.604,20.037,0.957,20.529,20.037,,20.379,20.036,0.965,20.304,20.036,0.954,20.229,20.035,1.017,20.154,20.035,1.018,20.079,20.035,1.081,20.004,20.034,1.081,19.929,20.034,1.004,19.854,20.034,1.005,19.779,20.033,0.930,19.704,20.033,0.963,19.629,20.033,1.007,19.554,20.033,1.001
21.289,20.040,0.965,21.364,20.040,0.965,21.440,20.040,0.986,21.516,20.040,0.989,21.592,20.041,0.958,21.668,20.041,0.957,21.744,20.041,,21.895,20.042,0.966,21.971,20.042,0.955,22.047,20.042,1.018,22.123,20.042,1.018,22.198,20.042,1.078,22.274,20.043,1.079,22.350,20.043,1.004,22.426,20.043,1.004,22.502,20.043,0.929,22.577,20.044,0.966,22.653,20.044,1.006,22.729,20.044,1.002
24.479,20.054,0.966,24.403,20.053,0.967,24.327,20.053,0.988,24.252,20.052,0.988,24.176,20.052,0.959,24.100,20.051,0.956,24.024,20.051,,23.873,20.050,0.965,23.797,20.050,0.954,23.721,20.049,1.018,23.645,20.049,1.019,23.569,20.048,1.079,23.494,20.048,1.079,23.418,20.048,1.003,23.342,20.047,1.003,23.266,20.047,0.929,23.190,20.046,0.964,23.115,20.046,1.004,23.039,20.046,1.001
24.789,20.055,0.966,24.865,20.055,0.966,24.940,20.056,0.987,25.016,20.056,0.989,25.092,20.057,0.958,25.168,20.057,0.957,25.244,20.058,,25.395,20.058,0.964,25.471,20.059,0.957,25.547,20.059,1.018,25.622,20.060,1.019,25.698,20.060,1.080,25.774,20.060,1.079,25.850,20.061,1.005,25.926,20.061,1.005,26.001,20.062,0.929,26.077,20.062,0.965,26.153,20.062,1.005,26.229,20.063,1.002
27.979,20.074,0.966,27.903,20.073,0.966,27.827,20.073,0.988,27.752,20.072,0.989,27.676,20.072,0.959,27.600,20.071,0.957,27.524,20.071,,27.373,20.070,0.963,27.297,20.069,0.957,27.221,20.069,1.016,27.145,20.068,1.019,27.069,20.068,1.080,26.994,20.067,1.079,26.918,20.067,1.004,26.842,20.066,1.005,26.766,20.066,0.929,26.690,20.065,0.964,26.615,20.065,1.008,26.539,20.064,1.002
28.289,20.076,0.968,28.365,20.076,0.965,28.441,20.077,0.988,28.516,20.077,0.989,28.592,20.078,0.958,28.668,20.078,0.955,28.744,20.078,,28.895,20.079,0.962,28.971,20.080,0.956,29.047,20.080,1.018,29.123,20.081,1.019,29.198,20.081,1.080,29.274,20.082,1.079,29.350,20.082,1.003,29.426,20.083,1.005,29.502,20.083,0.931,29.577,20.084,0.967,29.653,20.084,1.005,29.729,20.085,1.002
31.480,20.094,0.964,31.404,20.094,0.967,31.329,20.093,0.987,31.254,20.093,0.988,31.179,20.093,0.957,31.104,20.092,0.957,31.029,20.092,,30.879,20.091,0.966,30.804,20.090,0.957,30.729,20.090,1.017,30.654,20.090,1.019,30.579,20.089,1.080,30.504,20.089,1.078,30.429,20.088,1.002,30.354,20.088,1.005,30.279,20.088,0.929,30.204,20.087,0.964,30.129,20.087,1.008,30.054,20.086,1.001
31.789,20.096,0.965,31.865,20.096,0.966,31.941,20.097,0.988,32.017,20.097,0.988,32.092,20.098,0.958,32.168,20.098,0.957,32.244,20.099,,32.396,20.100,0.962,32.472,20.101,0.955,32.547,20.101,1.019,32.623,20.102,1.019,32.699,20.102,1.078,32.775,20.103,1.080,32.851,20.103,1.004,32.926,20.104,1.004,33.002,20.104,0.929,33.078,20.105,0.964,33.154,20.105,1.006,33.229,20.106,1.005
